,group_prob,misclass_prob,pop_size,pval_mean,pval_median,pval_std,pval_min,pval_max,time_cost
0,"(0.5, 0.5)",0.05,100,2278.538995380504,2248.8730683675967,101.04819577483354,2438.3107281081766,2159.7234304266876,0.13208985328674316
1,"(0.5, 0.5)",0.05,1000,220199.82555765836,220478.5995389513,1241.2951359927401,221840.39703297763,217829.89987345535,0.8493518829345703
2,"(0.5, 0.5)",0.1,100,2236.233249192167,2161.7571045722098,173.87143729767385,2692.26388563076,2089.732864247175,0.14733004570007324
3,"(0.5, 0.5)",0.1,1000,213038.0542837963,213005.06492312468,1958.7051754386098,216340.0212215921,209591.257156731,0.8707330226898193
4,"(0.55000000000000004, 0.44999999999999996)",0.05,100,2263.024236059726,2217.5884943565843,112.55524000582919,2579.6398233002947,2178.023737625419,0.10905289649963379
5,"(0.55000000000000004, 0.44999999999999996)",0.05,1000,223283.1454815459,223431.4998898323,2278.396198778849,226456.11764360906,219025.16300687456,0.7425520420074463
6,"(0.55000000000000004, 0.44999999999999996)",0.1,100,2253.7359250581935,2236.863824706157,114.365606490722,2450.471622415685,2086.1175541686994,0.11483097076416016
7,"(0.55000000000000004, 0.44999999999999996)",0.1,1000,216367.79607280678,216901.48997365424,3795.5785395650732,224163.83057575804,210558.30027664243,0.7318360805511475
