group_prob,misclass_prob,pop_size,pval_mean,pval_median,pval_std,pval_min,pval_max,time_cost
"(0.5, 0.5)",0.4,1000000,1.74954812591e+11,1.74930312984e+11,65117361.6269,1.75072677669e+11,1.74891339432e+11,439.093747139
"(0.5, 0.5)",0.45,100,1720.59436871,1706.00949847,85.5043528409,1961.40321538,1643.02543511,0.0713429450989
"(0.5, 0.5)",0.45,1000,169423.737344,169745.477966,1878.16645717,171801.311328,166399.945768,0.460072994232
"(0.5, 0.5)",0.45,10000,16861636.3271,16859413.5015,45139.723906,16956138.5417,16783129.1252,4.46694493294
"(0.5, 0.5)",0.45,100000,1687386609.9,1687035808.97,1687321.32127,1690464254.39,1684378063.42,44.6556949615
"(0.5, 0.5)",0.45,1000000,1.68795451343e+11,1.68804844804e+11,63825776.0064,1.68891818017e+11,1.68654991183e+11,445.280471087
"(0.55000000000000004, 0.44999999999999996)",0.0,100,2368.60371076,2296.80392455,136.11772828,2631.47998199,2249.2011283,0.0709218978882
"(0.55000000000000004, 0.44999999999999996)",0.0,1000,235033.085773,232772.48161,5600.3586439,248286.187969,230120.348824,0.427983045578
"(0.55000000000000004, 0.44999999999999996)",0.0,10000,23221593.0024,23226353.6577,112538.469083,23386446.859,23003229.6823,4.07958817482
"(0.55000000000000004, 0.44999999999999996)",0.0,100000,2316007207.1,2318263939.96,5402704.94114,2321833091.77,2305863869.05,40.5231909752
"(0.55000000000000004, 0.44999999999999996)",0.0,1000000,2.317563308e+11,2.31693607686e+11,190805031.669,2.32047266867e+11,2.31528755777e+11,406.950016975
"(0.55000000000000004, 0.44999999999999996)",0.05,100,2244.7805947,2236.45215669,66.5632326417,2375.2298672,2163.10079882,0.0676100254059
"(0.55000000000000004, 0.44999999999999996)",0.05,1000,222339.999591,223333.31857,3168.03982438,228261.26086,217581.077607,0.427947044373
"(0.55000000000000004, 0.44999999999999996)",0.05,10000,22506935.2053,22502857.4524,111765.091005,22743246.257,22358060.1591,4.10951685905
"(0.55000000000000004, 0.44999999999999996)",0.05,100000,2244611485.3,2245374077.54,3938822.4476,2249394106.08,2236219760.17,41.1864490509
"(0.55000000000000004, 0.44999999999999996)",0.05,1000000,2.24304821366e+11,2.24326596374e+11,132845394.157,2.24548296235e+11,2.24048582869e+11,411.846054077
"(0.55000000000000004, 0.44999999999999996)",0.1,100,2272.8607992,2246.83368918,143.115720875,2584.93862106,2090.56084397,0.0683360099792
"(0.55000000000000004, 0.44999999999999996)",0.1,1000,216888.723236,216172.52491,2761.31975003,221024.576651,212818.502899,0.4328520298
"(0.55000000000000004, 0.44999999999999996)",0.1,10000,21740727.7586,21741155.0214,61324.7376273,21837117.2439,21643263.8077,4.15753793716
"(0.55000000000000004, 0.44999999999999996)",0.1,100000,2169966133.37,2169685748.17,4095526.93035,2181082874.56,2165593845.47,41.6263179779
"(0.55000000000000004, 0.44999999999999996)",0.1,1000000,2.17002483332e+11,2.17019188312e+11,104521955.298,2.17183409475e+11,2.16869608202e+11,415.641155005
"(0.55000000000000004, 0.44999999999999996)",0.15,100,2143.45655204,2121.96139765,106.593081652,2355.47204372,2016.41030573,0.0686728954315
"(0.55000000000000004, 0.44999999999999996)",0.15,1000,210217.306477,210580.382817,3158.66709027,215698.706867,204634.362888,0.441153049469
"(0.55000000000000004, 0.44999999999999996)",0.15,10000,20981744.238,20966435.4363,57120.8108618,21106119.6814,20904108.9124,4.2359559536
"(0.55000000000000004, 0.44999999999999996)",0.15,100000,2097670344.44,2097673480.66,2719695.00512,2102425864.17,2092314684.09,42.0324299335
"(0.55000000000000004, 0.44999999999999996)",0.15,1000000,2.09722426543e+11,2.09688845455e+11,104999093.891,2.09885881911e+11,2.09586512433e+11,418.951847076
"(0.55000000000000004, 0.44999999999999996)",0.2,100,2088.25595461,2039.68680298,192.44591609,2601.20174759,1922.87414809,0.0693941116333
"(0.55000000000000004, 0.44999999999999996)",0.2,1000,203473.063371,203070.382892,3289.89748705,211173.480247,197310.062333,0.441076993942
"(0.55000000000000004, 0.44999999999999996)",0.2,10000,20285246.1832,20271077.5402,112119.199492,20544132.9402,20145834.7897,4.2150080204
"(0.55000000000000004, 0.44999999999999996)",0.2,100000,2027395536.94,2026990831.88,2466413.16727,2032843677.3,2024433321.79,42.2631230354
"(0.55000000000000004, 0.44999999999999996)",0.2,1000000,2.0262343615e+11,2.0262207106e+11,77613745.259,2.02792490577e+11,2.02489954665e+11,423.890744209
"(0.55000000000000004, 0.44999999999999996)",0.25,100,1987.27264998,1994.29811309,41.3570790521,2048.01679221,1933.65629945,0.0708570480347
"(0.55000000000000004, 0.44999999999999996)",0.25,1000,197030.877726,196786.754809,1690.72975966,199665.878615,193443.923619,0.444689035416
"(0.55000000000000004, 0.44999999999999996)",0.25,10000,19532580.9203,19543831.5772,96804.9866935,19684514.5533,19362604.1765,4.35653495789
"(0.55000000000000004, 0.44999999999999996)",0.25,100000,1956584331.77,1956536389.23,1733330.98256,1959723361.26,1953547006.61,42.9446730614
"(0.55000000000000004, 0.44999999999999996)",0.25,1000000,1.95585906364e+11,1.95609895642e+11,117368133.352,1.95718115922e+11,1.95377362405e+11,428.269544125
"(0.55000000000000004, 0.44999999999999996)",0.3,100,1913.54306596,1911.52536007,62.6990383823,2020.77170458,1790.70636855,0.0698571205139
"(0.55000000000000004, 0.44999999999999996)",0.3,1000,190549.519056,190140.237532,4011.61142685,197943.982794,185095.154009,0.460010051727
"(0.55000000000000004, 0.44999999999999996)",0.3,10000,18912141.7269,18918487.7218,78313.9121104,19038459.8173,18783726.9162,4.35182595253
"(0.55000000000000004, 0.44999999999999996)",0.3,100000,1888799345.96,1889545194.14,2668214.28415,1893823930.5,1884199079.07,43.0638730526
"(0.55000000000000004, 0.44999999999999996)",0.3,1000000,1.88806587662e+11,1.88792384609e+11,105618260.493,1.88963433475e+11,1.88657166792e+11,433.98880887
"(0.55000000000000004, 0.44999999999999996)",0.35,100,1863.39773879,1860.66376356,63.4321667218,1975.4513282,1777.61130597,0.0762178897858
"(0.55000000000000004, 0.44999999999999996)",0.35,1000,181701.123979,181681.838775,2203.6302088,186551.989132,178740.527294,0.454432010651
"(0.55000000000000004, 0.44999999999999996)",0.35,10000,18187526.3712,18178127.8773,76859.0558891,18303449.4099,18068206.0841,4.3865571022
"(0.55000000000000004, 0.44999999999999996)",0.35,100000,1820519996.75,1820237445.49,3464840.37539,1826085541.12,1815333058.99,43.6858201027
"(0.55000000000000004, 0.44999999999999996)",0.35,1000000,1.82029211879e+11,1.82034958929e+11,63131490.09,1.82130694094e+11,1.81889827547e+11,438.322700024
"(0.55000000000000004, 0.44999999999999996)",0.4,100,1848.44521549,1829.00742364,109.626768786,2060.39960824,1698.26731313,0.0704951286316
"(0.55000000000000004, 0.44999999999999996)",0.4,1000,175277.120525,175248.357648,2115.05996194,178929.993322,171416.750444,0.46409201622
"(0.55000000000000004, 0.44999999999999996)",0.4,10000,17546013.5234,17554503.8434,48628.2945472,17625391.4883,17460732.912,4.45201301575
"(0.55000000000000004, 0.44999999999999996)",0.4,100000,1753226062.38,1753045952.9,1970271.83757,1756244355.38,1750035680.74,44.2118148804
"(0.55000000000000004, 0.44999999999999996)",0.4,1000000,1.75483083357e+11,1.75481084613e+11,55818629.401,1.75593151791e+11,1.75393228879e+11,442.963047028
"(0.55000000000000004, 0.44999999999999996)",0.45,100,1749.76294086,1763.28206694,95.6828239867,1961.2496148,1623.71037794,0.0712971687317
"(0.55000000000000004, 0.44999999999999996)",0.45,1000,168256.022311,168436.383263,1940.20240282,171186.302846,165267.606802,0.462340831757
"(0.55000000000000004, 0.44999999999999996)",0.45,10000,16847197.2495,16841854.7582,62475.8260047,16952862.7017,16756898.5358,4.48355698586
"(0.55000000000000004, 0.44999999999999996)",0.45,100000,1689524400.97,1688624948.84,3279659.88257,1696252177.03,1686105110.03,44.5231120586
"(0.55000000000000004, 0.44999999999999996)",0.45,1000000,1.68975107526e+11,1.68986415656e+11,74372700.0205,1.69065143809e+11,1.68855798581e+11,443.241221905
"(0.60000000000000009, 0.39999999999999991)",0.0,100,2655.282018,2676.57737863,264.208686248,3233.00833273,2276.32231895,0.0666871070862
"(0.60000000000000009, 0.39999999999999991)",0.0,1000,249010.874049,249241.198893,5322.64906638,259074.073339,240149.160161,0.420081138611
"(0.60000000000000009, 0.39999999999999991)",0.0,10000,25282427.7107,25368889.7453,271924.949401,25690050.3058,24639496.8239,4.06950592995
"(0.60000000000000009, 0.39999999999999991)",0.0,100000,2515234675.18,2517416519.51,9127330.22613,2526172526.3,2499050266.05,40.3890209198
"(0.60000000000000009, 0.39999999999999991)",0.0,1000000,2.52098198331e+11,2.52114029302e+11,224780653.38,2.52437773252e+11,2.5151126108e+11,405.304660082
"(0.60000000000000009, 0.39999999999999991)",0.05,100,2489.28792282,2437.53431374,286.614247399,3196.2707383,2194.37483006,0.0676848888397
"(0.60000000000000009, 0.39999999999999991)",0.05,1000,239310.462865,239728.544547,3560.88985609,244919.089531,232941.77492,0.425864934921
"(0.60000000000000009, 0.39999999999999991)",0.05,10000,24012841.9413,24026672.2271,218138.40296,24464794.2431,23625197.7474,4.1324930191
"(0.60000000000000009, 0.39999999999999991)",0.05,100000,2406499830.37,2409063024.25,6043142.79596,2411594705.68,2391690566.91,41.5700039864
"(0.60000000000000009, 0.39999999999999991)",0.05,1000000,2.40928558807e+11,2.40982569279e+11,227840096.302,2.41172399762e+11,2.40471628625e+11,411.206214905
"(0.60000000000000009, 0.39999999999999991)",0.1,100,2371.96619295,2336.42857559,137.388714058,2687.10061851,2198.18238497,0.0689029693604
"(0.60000000000000009, 0.39999999999999991)",0.1,1000,237284.417828,237792.11523,6326.33875626,248133.464023,226907.633777,0.431195020676
"(0.60000000000000009, 0.39999999999999991)",0.1,10000,23035220.0178,23034251.9587,221674.27386,23488536.5017,22582788.5999,4.13861298561
"(0.60000000000000009, 0.39999999999999991)",0.1,100000,2301914790.08,2301078166.52,6465382.7169,2310900677.95,2290878857.56,41.4400830269
"(0.60000000000000009, 0.39999999999999991)",0.1,1000000,2.30247746745e+11,2.30237290202e+11,200023512.348,2.30498685722e+11,2.298374744e+11,412.297279119
